City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,curup,-3.4667,102.5333,18.9,98,22,0.42,ID,2023-7-25
1,stjordalshalsen,63.4681,10.9262,15.47,94,40,1.03,NO,2023-7-25
2,aitape,-3.1374,142.3475,25.34,87,100,2.58,PG,2023-7-25
3,grytviken,-54.2811,-36.5092,-3.33,81,80,4.74,GS,2023-7-25
4,vilyuchinsk,52.9306,158.4028,20.15,70,45,0.51,RU,2023-7-25
5,margaret river,-33.95,115.0667,11.78,80,100,8.64,AU,2023-7-25
6,kununurra,-15.7667,128.7333,11.99,76,32,0.51,AU,2023-7-25
7,jasrasar,28.298,74.8093,30.04,69,100,3.26,IN,2023-7-25
8,anadyr,64.75,177.4833,13.28,87,75,3.58,RU,2023-7-25
9,birjand,32.8663,59.2211,27.26,14,0,5.14,IR,2023-7-25
10,hawaiian paradise park,19.5933,-154.9731,27.8,80,100,3.6,US,2023-7-25
11,bredasdorp,-34.5322,20.0403,7.39,74,1,2.26,ZA,2023-7-25
12,blackmans bay,-43.0167,147.3167,13.16,68,100,5.26,AU,2023-7-25
13,longyearbyen,78.2186,15.6401,10.91,71,40,2.06,SJ,2023-7-25
14,talnakh,69.4865,88.3972,15.67,62,0,0.25,RU,2023-7-25
15,verkhnevilyuysk,63.4453,120.3167,17.96,50,34,2.98,RU,2023-7-25
16,waitangi,-43.9535,-176.5597,9.9,98,100,0.89,NZ,2023-7-25
17,papatowai,-46.5619,169.4708,6.68,79,55,5.07,NZ,2023-7-25
18,crane,31.3974,-102.3501,36.81,18,34,7.38,US,2023-7-25
19,kourou,5.1552,-52.6478,27.03,84,50,3.38,GF,2023-7-25
20,port-aux-francais,-49.35,70.2167,3.66,81,97,9.09,TF,2023-7-25
21,puerto leguizamo,-0.1934,-74.7819,25.9,80,84,1.17,CO,2023-7-25
22,beaufort west,-32.3567,22.583,13.01,25,53,1.72,ZA,2023-7-25
23,neftegorsk,52.802,51.166,17.83,72,88,2.41,RU,2023-7-25
24,bethel,41.3712,-73.414,21.2,86,40,2.06,US,2023-7-25
25,adamstown,-25.066,-130.1015,22.76,89,100,16.49,PN,2023-7-25
26,susuman,62.7833,148.1667,14.86,79,100,1.24,RU,2023-7-25
27,edinburgh of the seven seas,-37.0676,-12.3116,11.48,63,100,7.94,SH,2023-7-25
28,ibotirama,-12.1853,-43.2206,24.17,31,9,1.46,BR,2023-7-25
29,cody,44.5263,-109.0565,33.28,23,0,4.12,US,2023-7-25
30,yuzhno-kurilsk,44.0306,145.8556,20.63,90,43,1.67,RU,2023-7-25
31,antsiranana,-12.2787,49.2917,21.64,84,70,5.5,MG,2023-7-25
32,castaic,34.4889,-118.6229,43.22,22,0,3.58,US,2023-7-25
33,luderitz,-26.6481,15.1594,12.16,92,44,1.92,,2023-7-25
34,hermanus,-34.4187,19.2345,8.78,61,31,2.48,ZA,2023-7-25
35,pacific grove,36.6177,-121.9166,30.3,78,0,3.09,US,2023-7-25
36,isafjordur,66.0755,-23.124,7.23,81,96,3.51,IS,2023-7-25
37,kodiak,57.79,-152.4072,15.73,72,0,3.09,US,2023-7-25
38,kargasok,59.0556,80.8572,13.99,95,4,2.59,RU,2023-7-25
39,yanbu,24.0891,38.0637,32.02,58,0,2.06,SA,2023-7-25
40,badger,64.8,-147.5333,27.3,54,75,5.14,US,2023-7-25
41,izhevsk,56.85,53.2333,16.18,93,67,1.63,RU,2023-7-25
42,eastham,41.8301,-69.9739,26.08,80,1,0.45,US,2023-7-25
43,galliano,29.4422,-90.2992,33.0,52,0,2.06,US,2023-7-25
44,udachny,66.4167,112.4,16.36,76,100,3.17,RU,2023-7-25
45,heihe,50.2441,127.4902,19.32,71,82,0.38,CN,2023-7-25
46,naqadeh,36.9553,45.388,20.28,70,1,3.14,IR,2023-7-25
47,constantia,44.1833,28.65,24.38,70,77,8.35,RO,2023-7-25
48,kavaratti,10.5669,72.642,28.11,73,98,7.54,IN,2023-7-25
49,albany,42.6001,-73.9662,25.36,81,96,0.45,US,2023-7-25
50,cassilandia,-19.1133,-51.7342,25.55,36,47,2.0,BR,2023-7-25
51,el granada,37.5027,-122.4694,34.95,68,0,9.26,US,2023-7-25
52,wailua homesteads,22.0669,-159.378,30.44,73,20,6.69,US,2023-7-25
53,mil'kovo,55.6078,37.7956,18.27,97,93,2.87,RU,2023-7-25
54,cardigan,52.0847,-4.6591,12.16,81,13,2.47,GB,2023-7-25
55,port alfred,-33.5906,26.891,15.19,53,100,3.45,ZA,2023-7-25
56,kingston,17.997,-76.7936,31.53,73,20,10.8,JM,2023-7-25
57,copiapo,-27.3667,-70.3333,13.83,56,95,1.47,CL,2023-7-25
58,jiran,24.3167,74.8833,25.02,92,94,5.28,IN,2023-7-25
59,carnarvon,-24.8667,113.6333,16.65,57,34,6.76,AU,2023-7-25
60,humaita,-7.5061,-63.0208,27.43,42,9,0.57,BR,2023-7-25
61,ust-nera,64.5667,143.2,17.46,65,73,1.41,RU,2023-7-25
62,margate,51.3813,1.3862,16.5,67,72,2.24,GB,2023-7-25
63,kodinsk,58.6881,99.1844,16.14,88,100,1.76,RU,2023-7-25
64,cabo san lucas,22.8909,-109.9124,34.78,51,75,3.6,MX,2023-7-25
65,sarh,9.1429,18.3923,22.95,100,75,3.6,TD,2023-7-25
66,lihue,21.9789,-159.3672,30.77,65,20,6.69,US,2023-7-25
67,lent'ekhi,42.7856,42.7261,16.32,91,40,2.19,GE,2023-7-25
68,gongzhuling,43.5008,124.8198,23.64,91,5,3.84,CN,2023-7-25
69,ploudalmezeau,48.5333,-4.65,15.71,88,100,2.06,FR,2023-7-25
70,saldanha,-33.0117,17.9442,9.03,64,79,2.44,ZA,2023-7-25
71,port clinton,41.512,-82.9377,31.08,68,0,0.45,US,2023-7-25
72,kruisfontein,-34.0033,24.7314,10.93,32,0,2.52,ZA,2023-7-25
73,san patricio,28.017,-97.5169,36.4,42,11,7.54,US,2023-7-25
74,punta arenas,-53.15,-70.9167,0.1,81,87,4.96,CL,2023-7-25
75,lompoc,34.6391,-120.4579,29.45,56,20,3.6,US,2023-7-25
76,vila franca do campo,37.7167,-25.4333,21.23,83,27,1.09,PT,2023-7-25
77,rikaze,29.25,88.8833,11.08,80,100,1.55,CN,2023-7-25
78,lazaro cardenas,17.9583,-102.2,30.08,69,97,3.81,MX,2023-7-25
79,stanley,54.868,-1.6985,12.06,93,75,1.03,GB,2023-7-25
80,ancud,-41.8697,-73.8203,8.14,87,5,4.81,CL,2023-7-25
81,bressuire,46.9167,-0.5,14.42,90,82,3.96,FR,2023-7-25
82,kavieng,-2.5744,150.7967,27.38,81,94,6.75,PG,2023-7-25
83,port mathurin,-19.6833,63.4167,23.28,77,24,6.82,MU,2023-7-25
84,nabire,-3.3667,135.4833,25.69,85,90,1.0,ID,2023-7-25
85,east london,-33.0153,27.9116,14.85,33,100,2.5,ZA,2023-7-25
86,ushuaia,-54.8,-68.3,0.81,60,20,3.09,AR,2023-7-25
87,usakos,-22.0,15.6,13.22,59,5,0.6,,2023-7-25
88,achit,56.7985,57.8994,14.82,72,58,1.58,RU,2023-7-25
89,bilibino,68.0546,166.4372,10.93,94,100,0.95,RU,2023-7-25
90,jhol,25.9551,68.8882,29.48,75,98,5.79,PK,2023-7-25
91,ta`u,-14.2336,-169.5144,25.54,69,37,4.26,AS,2023-7-25
92,iqaluit,63.7506,-68.5145,6.85,81,100,2.06,CA,2023-7-25
93,nova sintra,14.8667,-24.7167,22.37,85,40,4.32,CV,2023-7-25
94,jamestown,42.097,-79.2353,25.25,73,20,1.54,US,2023-7-25
95,swakopmund,-22.6833,14.5333,11.66,86,75,0.45,,2023-7-25
96,new norfolk,-42.7826,147.0587,13.82,72,100,4.37,AU,2023-7-25
97,touros,-5.1989,-35.4608,24.04,76,35,6.79,BR,2023-7-25
98,coronel suarez,-37.4547,-61.9334,5.88,86,99,2.69,AR,2023-7-25
