City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
,-53.328267541188644,39.96,76,100,42.21
,-15.492296420819855,63.41,83,53,19.44
,-46.496217652715316,44.2,89,100,42.7
,-28.14988033806906,68.65,76,6,19.8
Russell,40.929182517416706,71.91,88,0,5.75
,5.246934895297059,80.73,82,100,15.35
,39.80007251813501,70.14,82,100,15.12
,61.770799586795164,48.51,95,100,9.84
,-51.46011190897164,35.33,54,28,20.02
,36.55263367039247,80.55,76,12,15.66
,-14.696694639784411,79.5,70,21,12.48
,-22.9014850538926,70.97,70,19,22.7
,-27.41258833103258,67.71,68,0,5.37
,-36.71534298632748,52.23,60,97,16.24
Ustica,38.77854647362207,84.4,75,2,2.93
,-20.43565024496729,72.61,72,12,18.95
,-81.6800814954522,-23.96,93,100,1.28
,-28.070726936406167,61.57,63,97,14.92
Muslyumovo,55.33840437614151,70.11,59,93,3.33
,-10.219191449130747,72.28,72,59,19.33
Globe,0.6341623483776146,76.15,76,91,10.58
,-41.95377557084705,54.45,64,25,14.07
,1.8714786048221868,81.1,78,3,17.36
,-26.965063141211473,67.03,77,99,10.56
,20.227332630204003,78.58,80,28,14.54
,-22.039160085690895,71.51,72,6,20.47
,28.07447381844493,76.91,80,17,13.58
Harper,4.080369417854897,79.05,76,100,16.11
Massawa,16.35556394572319,90.03,78,8,13.58
,68.50209449875956,56.17,75,100,4.61
,-6.792421621241672,80.71,80,8,19.8
Eyebrow,51.00408438854299,68.2,58,89,9.22
Chinsali,-10.211738231509017,80.62,26,3,9.42
,80.13835974692856,31.5,96,92,8.7
,4.474927760525205,75.02,89,77,1.05
,88.44759978076203,32.5,98,100,12.15
Beru,-0.3093365999653912,83.14,74,99,10.45
,-64.42460583872722,30.13,89,100,32.35
,-46.22199449218972,41.49,62,100,18.84
,-31.105328285123306,62.98,82,100,15.95
,-49.929970325303344,46.04,89,5,12.77
,20.7915737245508,81.84,73,10,18.95
,-1.7036419280019857,80.04,72,40,12.1
,-88.29321172494183,-52.17,99,100,21.68
,89.62214641790376,32.5,98,100,6.51
,-82.74190756714762,-32.62,82,100,11.7
,-0.7205888722825762,81.82,81,93,17.49
Tuljāpur,18.01983631405973,73.8,87,100,18.5
Mustafakemalpaşa,40.04064594822478,93.27,31,0,12.53
,72.0255137106546,44.87,90,26,16.82
,-45.526496591790334,42.19,97,100,21.27
Sorata,-15.603738531821335,51.94,35,0,3.22
,6.560993374485818,80.15,82,88,7.96
Anaktuvuk Pass,68.08074153342147,50.92,72,67,0.36
,74.58539477004192,46.04,60,8,13.53
,-32.96097099242303,59.58,72,100,20.6
,83.36474438390323,34.74,100,100,6.8
Shalakaryk,44.30562900168354,99.55,15,0,4.59
,12.175556431968843,83.44,80,96,16.55
Roebourne,-20.999514023029974,64.45,20,0,15.21
Niblack,54.89136089953709,56.28,94,80,3.91
,48.909412893737226,64.72,95,93,8.21
,-27.782634545891682,68.59,64,91,16.82
Mys-Kamennyy,69.12962246426906,63.1,66,100,11.77
,-48.86435733278609,41.16,65,50,13.65
,-37.09086027087058,61.88,79,100,20.42
Encruzilhada,-15.538919064623201,70.5,69,84,8.1
Kuji,40.156056244115035,70.57,93,100,17.07
,-24.366636003597222,66.9,54,1,9.31
,65.30409983762564,55.45,75,84,4.74
,63.73833560087439,43.21,88,4,2.01
Plougrescant,48.93554202465347,70.66,84,100,15.73
,78.5140853602555,36.3,94,100,1.19
,-23.203418533289536,65.1,62,55,21.7
,4.445548400927493,82.54,80,14,16.35
,78.12158869230919,43.61,80,100,3.15
,16.148542580054624,78.08,85,12,14.9
,-74.88144019792348,-37.12,100,100,6.93
,47.08897325177128,66.78,91,35,3.4
,-70.33760119061805,-61.06,100,59,9.84
,-66.17781153703896,28.99,96,100,27.09
Neville,-33.7214714739668,37.35,89,3,4.61
Lubango,-14.527938849138735,84.02,15,4,4.47
Altamira,-3.4448294084976254,89.1,38,57,4.09
,48.46636366503762,46.8,98,100,11.59
,-10.528144663083694,79.48,54,19,19.82
,15.418587123008479,81.14,84,100,27.98
Rongelap,11.909434363126863,84.51,69,99,13.27
Okhotsk,59.55034981746053,56.71,64,0,6.4
Pingelap,5.7055021948004025,84.06,76,97,13.33
,57.9680669128569,55.36,82,100,13.58
,-50.008938049870416,31.3,74,100,25.39
,82.44495444908651,32.9,99,83,3.69
Aldeia Nacapa,-13.908171714062803,82.63,31,89,4.74
Natashquan,50.669622053563074,64.2,98,100,2.91
,-26.61510922707175,67.1,57,72,16.33
,70.34201294826559,31.87,97,100,5.84
,-12.185576996222053,77.92,82,100,11.32
Vel't,67.76814786429921,65.39,74,98,9.15
